Epic ID,Epic Name,Description,Confidence,Depends On
E01,Log a Lost Pet Report,"A resident calls the council contact centre to report a lost or found pet (e.g. ""I've lost my cat""). The agent captures caller details, pet species/breed/description, last-seen location and date, and a contact number. The system checks the animal registry for any matching microchip or found-pet records and displays potential matches to the agent. A lost-pet case is created, an SMS confirmation with a case reference is sent to the caller, and the case is routed to the Animal Management queue.",Confirmed,
E02,Request Tree Lopping or Removal,"Resident requests that a council-owned tree be lopped or removed (overhanging branches, safety hazard). The agent captures the tree location (address or map pin), reason, and photos if emailed in. The system validates that the tree sits on council land by querying the asset/GIS boundary service, creates a works request, assigns a priority based on the reported hazard, and notifies the Parks & Gardens crew. The resident receives an acknowledgement email with expected response time.",Confirmed,E11
E03,Check Rates Payment Status,"Resident phones to ask the status of their rates (property tax) payments. After identity verification, the agent looks up the rate account by property number or address. The system retrieves the current balance, last payment date and amount, any arrears, and the next instalment due date from the finance system, and displays them to the agent who reads them back to the caller.",Confirmed,E10
E04,Set Up a Rates Payment Plan,"A resident in arrears requests a payment plan for their outstanding rates. The agent captures the proposed instalment amount and frequency. The system validates the plan against council hardship policy limits, calculates the schedule, records the arrangement on the rate account, and issues a written confirmation of the payment plan to the resident by post or email.",Assumed,E03
E05,Report a Pothole or Road Defect,"Resident reports a pothole, damaged footpath, or road defect. The agent captures the location, defect type, and severity. The system checks for an existing duplicate defect at the same location within a radius; if a duplicate exists it links the caller to that case, otherwise it creates a new road-defect works order, assigns it to the Roads team, and sends the caller a tracking reference.",Confirmed,
E06,Book a Hard Rubbish Collection,"Resident books a hard/bulky waste collection. The agent captures the address, item types and counts, and preferred collection window. The system checks the resident's remaining free collections for the year, validates that the items are within accepted categories, allocates the next available collection date from the waste scheduling service, and confirms the booking by SMS.",Assumed,
E07,Lodge a Noise or Nuisance Complaint,"Resident lodges a complaint about noise, illegal dumping, or another nuisance. The agent records the nature of the complaint, the offending address, dates/times of occurrence, and whether the complainant wishes to remain anonymous. A regulatory case is created and routed to the Local Laws / Environmental Health team, and the complainant receives a case reference (unless anonymous).",Assumed,
E08,Apply for a Parking Permit,"Resident applies for a residential parking permit. The agent captures vehicle registration, residential address, and permit type. The system verifies residency against the property register, checks the number of permits already issued to that address against the allowance, calculates any fee, takes payment, and issues a digital permit plus a confirmation email.",Unknown,E10;E11
E09,Update Contact Details on Account,"Resident calls to update their contact details (phone, email, postal address) held against their council customer account. After identity verification the agent edits the record; the system validates the new details, saves them to the customer master, and confirms the change to the resident.",Confirmed,E10
E10,Verify Caller Identity,"A shared capability used at the start of many calls. The agent asks knowledge-based verification questions (name, property address, date of birth, or an account reference). The system checks the supplied answers against the customer master and returns a verified/failed result to the agent, logging the verification attempt against the customer record.",Confirmed,
E11,Look Up Council Asset by Location,"A shared capability that, given an address or map pin, queries the GIS/asset service to determine whether an asset (tree, road, drain, streetlight) is council-owned and returns its asset details and responsible team to the agent or calling process.",Assumed,
E12,Cancel a Hard Rubbish Collection Booking,"A resident phones to cancel a previously booked hard/bulky waste collection. After the caller's identity is verified, the agent looks up the existing booking by address or booking reference, confirms the collection window and item details with the caller, and cancels it. The system marks the booking cancelled, restores the resident's free-collection allowance for the year, and sends the caller an SMS confirming the cancellation. If the collection window has already passed or the booking cannot be found, the agent is shown an error message.",Assumed,E06;E10
